stage,arm,actor_source,critic_source,reward_access,seed,profile,disturbance_differential_energy,off_diagonal_response_energy,source_sha256
half,an_cp_r0,N,P,0,403,canary_eval_c,0.0007256150171348718,0.00010450368461939935,15c7e21673ad9a39ffda77d68b8300664971d4a89f37fce91322ad703b0b413c
half,an_cp_r0,N,P,0,403,canary_eval_d,0.00032748858903534987,9.03810901870955e-05,40e53b284aac867645083e236234d86b22334f4372d0fe1d73b6cc9e9f8d2247
half,an_cp_r0,N,P,0,404,canary_eval_a,0.0006993896463595724,0.00038653996672236994,5d848fa1ac257267c965e7004a3867ce32da41a2536a6cc492ad6cbe499c3765
half,an_cp_r0,N,P,0,404,canary_eval_b,0.0014888239492683766,0.0003261689322393114,fc86889a2c2c7df7756e396467e46546831320a5ea9da194fb3239e6ee4b68a4
half,an_cp_r0,N,P,0,404,canary_eval_c,0.0011391653138555244,0.0004578793636467601,4869f24d578b35f10e9aa0fb32dfd94dc7146d72170451f61ab319934ad8d012
half,an_cp_r0,N,P,0,404,canary_eval_d,0.00035230657437519024,0.0002120505062910544,a025b5e1dc33043520def49b082da98300e7fe8d47ed6883af88797809d15c76
half,an_cp_r0,N,P,0,405,canary_eval_a,0.0004049719404614296,0.0001637920211311166,fe9c3265fc5a9196b013b6945bb8533d3d56503b15d9ba33c2e8d4c0c4914e36
half,an_cp_r0,N,P,0,405,canary_eval_b,0.000933259768899957,0.0002357846903288768,fda82332217b9e953af550c96f9d378edc4041068d29f212982837b56a77bc7d
half,an_cp_r0,N,P,0,405,canary_eval_c,0.0011873640640484738,0.00018793918672953285,df3a7bf70ded0ebad5c3ce00775837ddd26e7be5f3248634659c124ab1441327
half,an_cp_r0,N,P,0,405,canary_eval_d,0.0006855624253959023,0.0003009011567491509,6f286b106e462f6724f7aba2e6fe2ffdd5ff654470f651e3c64ee9f4829366f9
half,an_cp_r0,N,P,0,406,canary_eval_a,0.00026952081165775347,5.4556931854170254e-05,64fd15bba464b6687ff263c5de3c4bdd492397d243324f56eb90cac070bbdeb9
half,an_cp_r0,N,P,0,406,canary_eval_b,0.0007231131406834289,5.590053827591893e-05,0dd4f4453ca824da625086d72798fd098b78776419d173fb59b0c3c29e7c456a
half,an_cp_r0,N,P,0,406,canary_eval_c,0.0006415793740049818,7.505556859919738e-05,adc5e295932d168bf9ff4c6fd05d9cd077e0c074433cabc52608aa96398a8bce
half,an_cp_r0,N,P,0,406,canary_eval_d,0.00020204844310295044,6.105187730837564e-05,97cf18e6cee6dfba9f70261ec5451f180a74336f591cab7ca8a6562de2d78290
half,an_cp_r1,N,P,1,401,canary_eval_a,0.0004604744912944965,0.00011433876585225831,e186a96866d310a6f47bebccd9c49d1cfc811078285e440839133b59ec437261
half,an_cp_r1,N,P,1,401,canary_eval_b,0.0008334170437986788,9.618562366268282e-05,5da3010536700361ef12abe4678d61fd095a5bb781a40bff9a178e2e16b9ac84
half,an_cp_r1,N,P,1,401,canary_eval_c,0.0007376517692793467,0.000112996424663619,d5e1b4f2988e500539d1636e268a898250252abad2fc7ad5472bdb3c962b1402
half,an_cp_r1,N,P,1,401,canary_eval_d,0.0002808724452759755,0.00012961867135611742,812db6810fbd7f02d59dc6e364db507774ba1ff6c61e370d32888135d0329b8e
half,an_cp_r1,N,P,1,402,canary_eval_a,0.0003795431236424553,9.583841983394563e-05,6e548755efb1b74525e0b2e1ae2746eaa9d8d63ee093c9b2ece772fa819a41d4
half,an_cp_r1,N,P,1,402,canary_eval_b,0.001104436495132285,9.297919270680196e-05,43fb8eb7e1cbfb4d7c1eb7bc43e2363e2a2212365c6e3ccfacb9910610c39868
half,an_cp_r1,N,P,1,402,canary_eval_c,0.0008288718059816964,0.0001366514884322082,777f20a1f9ca2529b3e0c50425ca2e43e2e995bc14250a66af5ade0907092a80
half,an_cp_r1,N,P,1,402,canary_eval_d,0.00024662503043271477,7.26388020558247e-05,116d942e501bedc8851f5592d68626c33040ed202cba0d9089907100c429d74b
half,an_cp_r1,N,P,1,403,canary_eval_a,0.0006707831969772311,0.00011685687704985617,0b8b1fad70e464873f96eab79e890441873054d9716a2d5fd2a1ac681f8db52e
half,an_cp_r1,N,P,1,403,canary_eval_b,0.0009953176513985758,0.0001390062694412746,09c6537e4720d690f428b47d1ed1883673da03ec09863f6db5a64465b061e90c
half,an_cp_r1,N,P,1,403,canary_eval_c,0.0011183356650346387,0.0001876105169951869,898f9f179934de5d7122b55c8a86038e0c5dcc869b85e7634c14c5a543b98ae1
half,an_cp_r1,N,P,1,403,canary_eval_d,0.0006111724768117507,0.00019075638185611697,9f485d4c5b2a82842bd200bcd7fac24d720cb59fc67c509bcbb2f1a7b0c53882
half,an_cp_r1,N,P,1,404,canary_eval_a,0.0008496202553915211,0.00029111628928145985,6c28a4663fe53ba5a082805e50467f591664d96b74e0f71b71233be8d13abeaf
half,an_cp_r1,N,P,1,404,canary_eval_b,0.0012942802230572396,0.00018771186534688916,87ffe574ab63fa7e5b7af297ea7ef95b2d2ba40a84301a49e143b873ed29b911
half,an_cp_r1,N,P,1,404,canary_eval_c,0.001124462250547302,0.0002956089753210898,2b0b16269f8d36998fd55544663fa2122815ba1f69febf6742f3602cb6576cf0
half,an_cp_r1,N,P,1,404,canary_eval_d,0.0004041047509462428,0.00012577183772381105,e1fad66e859c1178270189bf25b54806b6da5698ca8ca40fa323db136cf67ad1
